T,latent_size,std,classifier,accuracy,Classification_weighted_avg_precision,Classification_weighted_avg_recall,Classification_weighted_avg_f1,Classification_weighted_avg_support,generation_time,conformal_coverage,conformal_avg_set_size
400,8,1,PCA [Logistic],0.762,0.82,0.76,0.77,500,0.5937,0.582,0.69
400,8,1,KernelPCA-rbf(gamma=0.002) [Logistic],0.898,0.93,0.9,0.9,500,1.2846,0.538,0.54
400,8,1,KernelPCA-rbf(gamma=0.003) [Logistic],0.928,0.94,0.93,0.93,500,0.9362,0.52,0.52
400,8,1,KernelPCA-rbf(gamma=0.005) [Logistic],0.726,0.86,0.73,0.73,500,0.9256,0.298,0.3
400,8,1,"KernelPCA-poly(degree=2,coef0=0) [Logistic]",0.1,0.01,0.1,0.02,500,1.1028,0,0
400,8,1,"KernelPCA-poly(degree=2,coef0=1) [Logistic]",0.99,0.99,0.99,0.99,500,1.0474,0.95,0.96
400,8,1,"KernelPCA-poly(degree=3,coef0=0) [Logistic]",0.1,0.01,0.1,0.02,500,1.6253,0,0
400,8,1,"KernelPCA-poly(degree=3,coef0=1) [Logistic]",0.628,0.65,0.63,0.61,500,1.0996,0.472,0.59
400,8,1,KernelPCA-sigmoid(coef0=0) [Logistic],0.59,0.66,0.59,0.55,500,1.0001,0.222,0.22
400,8,1,KernelPCA-sigmoid(coef0=1) [Logistic],0.1,0.01,0.1,0.02,500,0.919,0,0
400,8,1.5,PCA [Logistic],0.642,0.7,0.64,0.65,500,0.8036,0.528,0.72
400,8,1.5,KernelPCA-rbf(gamma=0.002) [Logistic],0.832,0.89,0.83,0.84,500,0.9231,0.522,0.53
400,8,1.5,KernelPCA-rbf(gamma=0.003) [Logistic],0.868,0.91,0.87,0.87,500,0.9491,0.55,0.55
400,8,1.5,KernelPCA-rbf(gamma=0.005) [Logistic],0.7,0.85,0.7,0.72,500,0.9338,0.324,0.33
400,8,1.5,"KernelPCA-poly(degree=2,coef0=0) [Logistic]",0.1,0.01,0.1,0.02,500,0.8053,0,0
